GENRE=ImaginativeLiterature; TITLE=Мятная сказка; AUTHOR=Александр Полярный; YEAR=2018; PUBLISHING=АСТ; PAGE_COUNT=160; PRICE=11.96; BINDING=твердый переплет
GENRE=ImaginativeLiterature; TITLE=Когда я вернусь, будь дома; AUTHOR=Эльчин Сафарли; YEAR=2017; PUBLISHING=АСТ; PAGE_COUNT=288; PRICE=13.52; BINDING=твердый переплет
GENRE=ImaginativeLiterature; TITLE=1984; AUTHOR=Джордж Оруэлл; YEAR=2015; PUBLISHING=АСТ; PAGE_COUNT=320; PRICE=8.12; BINDING=мягкая обложка
GENRE=ImaginativeLiterature; TITLE=Таинственная история Билли Миллигана; AUTHOR=Дэниел Киз; YEAR=2017; PUBLISHING=Эксмо; PAGE_COUNT=576; PRICE=6.99; BINDING=твердый переплет
GENRE=ImaginativeLiterature; TITLE=Дом, в котором горит свет; AUTHOR=Эльчин Сафарли; YEAR=2019; PUBLISHING=АСТ; PAGE_COUNT=288; PRICE=16.86; BINDING=твердый переплет
GENRE=ImaginativeLiterature; TITLE=Не такая, как все; AUTHOR=Марк Леви; YEAR=2018; PUBLISHING=Иностранка; PAGE_COUNT=400; PRICE=14.83; BINDING=твердый переплет
GENRE=ImaginativeLiterature; TITLE=Гарри Поттер и философский камень; AUTHOR=Джоан Роулинг; YEAR=2016; PUBLISHING=Махаон; PAGE_COUNT=432; PRICE=16.05; BINDING=твердый переплет
GENRE=ImaginativeLiterature; TITLE=451 градус по Фаренгейту; AUTHOR=Рэй Брэдбери; YEAR=2017; PUBLISHING=Эксмо; PAGE_COUNT=256; PRICE=7.15; BINDING=мягкая обложка
GENRE=ImaginativeLiterature; TITLE=Кладбище домашних животных; AUTHOR=Стивен Кинг; YEAR=2016; PUBLISHING=АСТ; PAGE_COUNT=480; PRICE=11.89; BINDING=твердый переплет
GENRE=ImaginativeLiterature; TITLE=Сияние; AUTHOR=Стивен Кинг; YEAR=2015; PUBLISHING=АСТ; PAGE_COUNT=544; PRICE=17.65; BINDING=твердый переплет
GENRE=ImaginativeLiterature; TITLE=О дивный новый мир; AUTHOR=Олдос Хаксли; YEAR=2016; PUBLISHING=АСТ; PAGE_COUNT=352; PRICE=8.39; BINDING=мягкая обложка
